,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
106,106,106,MikeWallace,MIN,29,WR,16,72,39,54.2%,473,12.1,2,6.6,2.4,29.6,WallMi00
109,109,109,BrandonLaFell,NWE,29,WR,11,74,37,50.0%,515,13.9,0,7.0,3.4,46.8,LaFeBr00
110,110,110,EddieRoyal,CHI,29,WR,9,50,37,74.0%,238,6.4,1,4.8,4.1,26.4,RoyaEd00
111,111,111,KennyBritt,LAR,27,WR,16,72,36,50.0%,681,18.9,3,9.5,2.3,42.6,BritKe00
112,112,112,HarryDouglas,TEN,31,WR,14,72,36,50.0%,411,11.4,2,5.7,2.6,29.4,DougHa00
113,113,113,DwayneHarris,NYG,28,WR,15,57,36,63.2%,396,11.0,4,6.9,2.4,26.4,HarrDw00
114,114,114,ChrisHogan,BUF,28,WR,16,59,36,61.0%,450,12.5,2,7.6,2.3,28.1,HogaCh00
117,117,117,KendallWright,TEN,26,WR,10,60,36,60.0%,408,11.3,3,6.8,3.6,40.8,WrigKe01
120,120,120,DontrelleInman,LAC,26,WR,14,63,35,55.6%,486,13.9,3,7.7,2.5,34.7,InmaDo00
122,122,122,AlbertWilson,KAN,23,WR,14,57,35,61.4%,451,12.9,2,7.9,2.5,32.2,WilsAl02
126,126,126,JariusWright,MIN,26,WR,16,50,34,68.0%,442,13.0,0,8.8,2.1,27.6,WrigJa02
129,129,129,VincentJackson,TAM,32,WR,10,62,33,53.2%,543,16.5,3,8.8,3.3,54.3,JackVi00
131,131,131,MohamedSanu,CIN,26,WR,16,49,33,67.3%,394,11.9,0,8.0,2.1,24.6,SanuMo00
132,132,132,TorreySmith,SFO,26,WR,16,62,33,53.2%,663,20.1,4,10.7,2.1,41.4,SmitTo02
133,133,133,DorialGreenBeckham,TEN,22,WR,16,67,32,47.8%,549,17.2,4,8.2,2.0,34.3,GreeDo00
137,137,137,SethRoberts,LVR,24,WR,16,55,32,58.2%,480,15.0,5,8.7,2.0,30.0,RobeSe00
138,138,138,BryanWalters,JAX,28,WR,11,45,32,71.1%,368,11.5,1,8.2,2.9,33.5,WaltBr00
140,140,140,CoreyBrown,CAR,24,WR,14,54,31,57.4%,447,14.4,4,8.3,2.2,31.9,BrowPh00
141,141,141,DezBryant,DAL,27,WR,9,72,31,43.1%,401,12.9,3,5.6,3.4,44.6,BryaDe01
142,142,142,JeremyButler,BAL,24,WR,8,44,31,70.5%,363,11.7,0,8.3,3.9,45.4,ButlJe01
