,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
102,102,DannyAmendola,NWE,32,WR,15,86,61,70.9%,659,10.8,2,7.7,4.1,43.9,AmenDa00,389.0,587.0,4418.0,32.0,2017
103,103,ChrisHogan,NWE,30,WR,9,59,34,57.6%,439,12.9,5,7.4,3.8,48.8,HogaCh00,389.0,587.0,4418.0,32.0,2017
104,104,PhillipDorsett,NWE,24,WR,15,18,12,66.7%,194,16.2,0,10.8,0.8,12.9,DorsPh00,389.0,587.0,4418.0,32.0,2017
105,105,JermaineKearse,NYJ,27,WR,16,102,65,63.7%,810,12.5,5,7.9,4.1,50.6,KearJe01,323.0,510.0,3182.0,19.0,2017
106,106,ChosenAnderson,NYJ,24,WR,16,114,63,55.3%,941,14.9,7,8.3,3.9,58.8,AndeRo04,323.0,510.0,3182.0,19.0,2017
107,107,JeremyKerley,NYJ,29,WR,8,27,22,81.5%,217,9.9,1,8.0,2.8,27.1,KerlJe00,323.0,510.0,3182.0,19.0,2017
108,108,ChadHansen,NYJ,22,WR,15,17,9,52.9%,94,10.4,0,5.5,0.6,6.3,HansCh00,323.0,510.0,3182.0,19.0,2017
109,109,NealSterling,NYJ,25,WR,11,10,6,60.0%,82,13.7,0,8.2,0.5,7.5,SterNe00,323.0,510.0,3182.0,19.0,2017
110,110,ArDariusStewart,NYJ,24,WR,15,13,6,46.2%,82,13.7,0,6.3,0.4,5.5,StewAr00,323.0,510.0,3182.0,19.0,2017
111,111,JojoNatson,NYJ,23,WR,7,5,2,40.0%,18,9.0,0,3.6,0.3,2.6,NatsJo00,323.0,510.0,3182.0,19.0,2017
112,112,CharonePeake,NYJ,25,WR,3,1,1,100.0%,3,3.0,0,3.0,0.3,1.0,PeakCh00,323.0,510.0,3182.0,19.0,2017
113,113,DevinFunchess,CAR,23,WR,16,111,63,56.8%,840,13.3,8,7.6,3.9,52.5,FuncDe00,293.0,501.0,3077.0,22.0,2017
114,114,RussellShepard,CAR,27,WR,15,32,17,53.1%,202,11.9,1,6.3,1.1,13.5,ShepRu00,293.0,501.0,3077.0,22.0,2017
115,115,CurtisSamuel,CAR,21,WR,9,26,15,57.7%,115,7.7,0,4.4,1.7,12.8,SamuCu00,293.0,501.0,3077.0,22.0,2017
116,116,DamiereByrd,CAR,24,WR,8,17,10,58.8%,105,10.5,2,6.2,1.3,13.1,ByrdDa00,293.0,501.0,3077.0,22.0,2017
117,117,BrentonBersin,CAR,27,WR,8,14,8,57.1%,128,16.0,0,9.1,1.0,16.0,BersBr00,293.0,501.0,3077.0,22.0,2017
118,118,NelsonAgholor,PHI,24,WR,16,95,62,65.3%,768,12.4,8,8.1,3.9,48.0,AghoNe00,341.0,564.0,3737.0,38.0,2017
119,119,AlshonJeffery,PHI,27,WR,16,120,57,47.5%,789,13.8,9,6.6,3.6,49.3,JeffAl00,341.0,564.0,3737.0,38.0,2017
120,120,TorreySmith,PHI,28,WR,16,67,36,53.7%,430,11.9,2,6.4,2.3,26.9,SmitTo02,341.0,564.0,3737.0,38.0,2017
121,121,MackHollins,PHI,24,WR,16,22,16,72.7%,226,14.1,1,10.3,1.0,14.1,HollMa00,341.0,564.0,3737.0,38.0,2017
122,122,MarcusJohnson,PHI,23,WR,10,8,5,62.5%,45,9.0,0,5.6,0.5,4.5,JohnMa07,341.0,564.0,3737.0,38.0,2017
123,123,SheltonGibson,PHI,23,WR,5,3,2,66.7%,11,5.5,0,3.7,0.4,2.2,GibsSh00,341.0,564.0,3737.0,38.0,2017
124,124,CooperKupp,LAR,24,WR,15,94,62,66.0%,869,14.0,5,9.2,4.1,57.9,KuppCo00,320.0,518.0,3831.0,28.0,2017
125,125,RobertWoods,LAR,25,WR,12,85,56,65.9%,781,13.9,5,9.2,4.7,65.1,WoodRo02,320.0,518.0,3831.0,28.0,2017
126,126,SammyWatkins,LAR,24,WR,15,70,39,55.7%,593,15.2,8,8.5,2.6,39.5,WatkSa00,320.0,518.0,3831.0,28.0,2017
127,127,TavonAustin,LAR,27,WR,16,22,13,59.1%,47,3.6,0,2.1,0.8,2.9,AustTa00,320.0,518.0,3831.0,28.0,2017
128,128,PharohCooper,LAR,22,WR,16,19,11,57.9%,84,7.6,0,4.4,0.7,5.3,CoopPh00,320.0,518.0,3831.0,28.0,2017
129,129,JoshReynolds,LAR,22,WR,16,24,11,45.8%,104,9.5,1,4.3,0.7,6.5,ReynJo00,320.0,518.0,3831.0,28.0,2017
130,130,MikeThomas,LAR,23,WR,8,7,5,71.4%,93,18.6,0,13.3,0.6,11.6,ThomMi04,320.0,518.0,3831.0,28.0,2017
131,131,SterlingShepard,NYG,24,WR,11,84,59,70.2%,731,12.4,2,8.7,5.4,66.5,ShepSt00,373.0,608.0,3479.0,20.0,2017
132,132,RogerLewis,NYG,24,WR,15,72,36,50.0%,416,11.6,2,5.8,2.4,27.7,LewiRo03,373.0,608.0,3479.0,20.0,2017
133,133,OdellBeckhamJr,NYG,25,WR,4,41,25,61.0%,302,12.1,3,7.4,6.3,75.5,BeckOd00,373.0,608.0,3479.0,20.0,2017
134,134,TavarresKing,NYG,27,WR,8,37,18,48.6%,240,13.3,3,6.5,2.3,30.0,KingTa00,373.0,608.0,3479.0,20.0,2017
135,135,BrandonMarshall,NYG,33,WR,5,33,18,54.5%,154,8.6,0,4.7,3.6,30.8,MarsBr00,373.0,608.0,3479.0,20.0,2017
136,136,TravisRudolph,NYG,22,WR,7,21,8,38.1%,101,12.6,0,4.8,1.1,14.4,RudoTr00,373.0,608.0,3479.0,20.0,2017
137,137,DariusPowe,NYG,23,WR,1,4,2,50.0%,13,6.5,0,3.3,2.0,13.0,PoweDa02,373.0,608.0,3479.0,20.0,2017
138,138,MarquisBundy,NYG,23,WR,1,3,0,0.0%,0,,0,0.0,0.0,0.0,BundMa00,373.0,608.0,3479.0,20.0,2017
139,139,EdEagan,NYG,24,WR,4,1,0,0.0%,0,,0,0.0,0.0,0.0,EagaEd00,373.0,608.0,3479.0,20.0,2017
140,140,KendallWright,CHI,28,WR,16,91,59,64.8%,614,10.4,1,6.7,3.7,38.4,WrigKe01,291.0,473.0,2811.0,13.0,2017
141,141,JoshBellamy,CHI,28,WR,15,46,24,52.2%,376,15.7,1,8.2,1.6,25.1,BellJo02,291.0,473.0,2811.0,13.0,2017
142,142,DanielBrown,CHI,25,WR,14,20,13,65.0%,129,9.9,0,6.5,0.9,9.2,BrowDa04,291.0,473.0,2811.0,13.0,2017
143,143,TreMcBride,CHI,25,WR,8,15,8,53.3%,144,18.0,0,9.6,1.0,18.0,McBrTr00,291.0,473.0,2811.0,13.0,2017
144,144,MarkusWheaton,CHI,26,WR,11,17,3,17.6%,51,17.0,0,3.0,0.3,4.6,WheaMa00,291.0,473.0,2811.0,13.0,2017
145,145,KevinWhite,CHI,25,WR,1,4,2,50.0%,6,3.0,0,1.5,2.0,6.0,WhitKe00,291.0,473.0,2811.0,13.0,2017
146,146,MichaelCrabtree,LVR,30,WR,14,101,58,57.4%,618,10.7,8,6.1,4.1,44.1,CrabMi00,347.0,558.0,3631.0,23.0,2017
147,147,AmariCooper,LVR,23,WR,14,96,48,50.0%,680,14.2,7,7.1,3.4,48.6,CoopAm00,347.0,558.0,3631.0,23.0,2017
148,148,SethRoberts,LVR,26,WR,15,65,43,66.2%,455,10.6,1,7.0,2.9,30.3,RobeSe00,347.0,558.0,3631.0,23.0,2017
149,149,CordarrellePatterson,LVR,26,WR,16,42,31,73.8%,309,10.0,0,7.4,1.9,19.3,PattCo00,347.0,558.0,3631.0,23.0,2017
150,150,JohnnyHolton,LVR,27,WR,16,18,9,50.0%,218,24.2,3,12.1,0.6,13.6,HoltJo00,347.0,558.0,3631.0,23.0,2017
151,151,IsaacWhitney,LVR,23,WR,2,1,0,0.0%,0,,0,0.0,0.0,0.0,WhitIs00,347.0,558.0,3631.0,23.0,2017
152,152,TYHilton,IND,28,WR,16,109,57,52.3%,966,16.9,4,8.9,3.6,60.4,HiltT.00,285.0,487.0,2892.0,13.0,2017
153,153,DonteMoncrief,IND,24,WR,12,47,26,55.3%,391,15.0,2,8.3,2.2,32.6,MoncDo00,285.0,487.0,2892.0,13.0,2017
154,154,ChesterRogers,IND,23,WR,11,37,23,62.2%,284,12.3,1,7.7,2.1,25.8,RogeCh02,285.0,487.0,2892.0,13.0,2017
155,155,KamarAiken,IND,28,WR,15,44,15,34.1%,133,8.9,0,3.0,1.0,8.9,AikeKa00,285.0,487.0,2892.0,13.0,2017
156,156,BrandonWilliams,IND,30,WR,14,17,13,76.5%,121,9.3,0,7.1,0.9,8.6,WillBr04,285.0,487.0,2892.0,13.0,2017
157,157,QuanBray,IND,24,WR,9,4,3,75.0%,39,13.0,0,9.8,0.3,4.3,BrayQu00,285.0,487.0,2892.0,13.0,2017
