,Unnamed: 0,Unnamed: 0.1_x,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Unnamed: 0.1_y,Cmp,Att,P_Yds,P_TD,Year
144,144,415,TyrellWilliams,LAC,23,WR,7,6,2,33.3%,90,45.0,1,15.0,0.3,12.9,WillTy00,3.0,442.0,667.0,4591.0,30.0,2015
145,145,422,VincentBrown,LAC,26,WR,1,2,1,50.0%,22,22.0,0,11.0,1.0,22.0,BrowVi00,3.0,442.0,667.0,4591.0,30.0,2015
146,146,41,DannyAmendola,NWE,30,WR,14,87,65,74.7%,648,10.0,3,7.4,4.6,46.3,AmenDa00,4.0,404.0,629.0,4587.0,36.0,2015
147,147,46,JulianEdelman,NWE,29,WR,9,88,61,69.3%,692,11.3,7,7.9,6.8,76.9,EdelJu00,4.0,404.0,629.0,4587.0,36.0,2015
148,148,109,BrandonLaFell,NWE,29,WR,11,74,37,50.0%,515,13.9,0,7.0,3.4,46.8,LaFeBr00,4.0,404.0,629.0,4587.0,36.0,2015
149,149,177,KeshawnMartin,NWE,25,WR,9,37,24,64.9%,269,11.2,2,7.3,2.7,29.9,MartKe01,4.0,404.0,629.0,4587.0,36.0,2015
150,150,255,AaronDobson,NWE,24,WR,8,21,13,61.9%,141,10.8,0,6.7,1.6,17.6,DobsAa00,4.0,404.0,629.0,4587.0,36.0,2015
151,151,436,ChrisHarper,NWE,22,WR,5,3,1,33.3%,6,6.0,0,2.0,0.2,1.2,HarpCh01,4.0,404.0,629.0,4587.0,36.0,2015
152,152,482,MatthewSlater,NWE,30,WR,16,1,0,0.0%,0,,0,0.0,0.0,0.0,SlatMa00,4.0,404.0,629.0,4587.0,36.0,2015
153,153,49,SammyWatkins,BUF,22,WR,13,96,60,62.5%,1047,17.5,9,10.9,4.6,80.5,WatkSa00,27.0,295.0,465.0,3343.0,23.0,2015
154,154,81,RobertWoods,BUF,23,WR,14,80,47,58.8%,552,11.7,3,6.9,3.4,39.4,WoodRo02,27.0,295.0,465.0,3343.0,23.0,2015
155,155,114,ChrisHogan,BUF,28,WR,16,59,36,61.0%,450,12.5,2,7.6,2.3,28.1,HogaCh00,27.0,295.0,465.0,3343.0,23.0,2015
156,156,212,PercyHarvin,BUF,27,WR,5,30,19,63.3%,218,11.5,1,7.3,3.8,43.6,HarvPe00,27.0,295.0,465.0,3343.0,23.0,2015
157,157,388,GregSalas,BUF,27,WR,2,5,3,60.0%,41,13.7,0,8.2,1.5,20.5,SalaGr00,27.0,295.0,465.0,3343.0,23.0,2015
158,158,399,MarquiseGoodwin,BUF,25,WR,2,2,2,100.0%,24,12.0,0,12.0,1.0,12.0,GoodMa00,27.0,295.0,465.0,3343.0,23.0,2015
159,159,429,MarcusEasley,BUF,28,WR,13,3,1,33.3%,58,58.0,1,19.3,0.1,4.5,EaslMa00,27.0,295.0,465.0,3343.0,23.0,2015
